Title,Location,Company,Salary Min,Salary Max,Job Link
Senior Data Engineer,"New York City, New York",Capital One,131156.1,131156.1,https://www.adzuna.com/land/ad/5119701705?se=unvZ7CUP8BG60LCKMncHCQ&utm_medium=api&utm_source=53309e4f&v=E7FD2AB8A4398288DD386EB97C80DC63E68F4A0A
Lead Data Engineer,"New York City, New York",Capital One,115157.45,115157.45,https://www.adzuna.com/land/ad/5119701604?se=unvZ7CUP8BG60LCKMncHCQ&utm_medium=api&utm_source=53309e4f&v=4D47E6FBE3BD534AA46AE23E002D88E84E1C9E7F
Senior Data Engineer,"New York City, New York",Capital One,138613.28,138613.28,https://www.adzuna.com/land/ad/5119701556?se=unvZ7CUP8BG60LCKMncHCQ&utm_medium=api&utm_source=53309e4f&v=B2F268CEBCEF5DB554BDB64FCC021E9B64C99E8C
Lead Data Engineer,"New York City, New York",Capital One,119348.05,119348.05,https://www.adzuna.com/land/ad/5119701281?se=unvZ7CUP8BG60LCKMncHCQ&utm_medium=api&utm_source=53309e4f&v=8CD143EB8CB10F11FFD7F86DCF3F3347CBB5F53B
Lead Data Engineer,"New York City, New York",Capital One,125549.05,125549.05,https://www.adzuna.com/land/ad/5119701723?se=unvZ7CUP8BG60LCKMncHCQ&utm_medium=api&utm_source=53309e4f&v=C07DECF54C5EE7A847AA1645A29665E066FBE1CD
Senior Data Engineer (Python),"New York City, New York",Capital One,125519.24,125519.24,https://www.adzuna.com/land/ad/5119701665?se=unvZ7CUP8BG60LCKMncHCQ&utm_medium=api&utm_source=53309e4f&v=C35FBB6BC35A7D52E0DB15124E2BF64A7F0C28C8
"Senior Manager, Data Engineering","New York City, New York",Capital One,166288.98,166288.98,https://www.adzuna.com/land/ad/5119701626?se=unvZ7CUP8BG60LCKMncHCQ&utm_medium=api&utm_source=53309e4f&v=E92EE4598E521071BAD2093B44C72A54C07E15DD
"Director, Data Engineering - Card Technology","New York City, New York",Capital One,198366.42,198366.42,https://www.adzuna.com/land/ad/5119702279?se=unvZ7CUP8BG60LCKMncHCQ&utm_medium=api&utm_source=53309e4f&v=78A967D4691C3B99C3B9483D8780A76CF0E558C9
Distinguished Data Engineer - Card Technology,"New York City, New York",Capital One,170949.22,170949.22,https://www.adzuna.com/land/ad/5119702209?se=unvZ7CUP8BG60LCKMncHCQ&utm_medium=api&utm_source=53309e4f&v=65583D62F22F413FE695F0D80413154984BC85C7
Senior Data Engineer,"Prince, Manhattan",Capital One,132710.22,132710.22,https://www.adzuna.com/land/ad/5119732102?se=unvZ7CUP8BG60LCKMncHCQ&utm_medium=api&utm_source=53309e4f&v=8A30D3DEAF1F223C4756844141052F5AA8591131
